a,b,c,d,state,district
175,610,9,33,Tamil Nadu,Erode
449,621,20,33,Tamil Nadu,Pudukkottai
535,622,21,33,Tamil Nadu,Sivaganga
563,620,19,33,Tamil Nadu,Thanjavur
567,602,1,33,Tamil Nadu,Thiruvallur
569,619,18,33,Tamil Nadu,Thiruvarur
570,627,26,33,Tamil Nadu,Thoothukkudi
576,614,13,33,Tamil Nadu,Tiruchirappalli
577,628,27,33,Tamil Nadu,Tirunelveli
578,633,32,33,Tamil Nadu,Tiruppur
579,606,5,33,Tamil Nadu,Tiruvannamalai
602,605,4,33,Tamil Nadu,Vellore
604,607,6,33,Tamil Nadu,Viluppuram
605,625,24,33,Tamil Nadu,Virudunagar
633,618,17,33,Tamil Nadu,Nagappattinam
123,632,31,33,Tamil Nadu,Coimbatore
124,617,16,33,Tamil Nadu,Cuddalore
288,613,12,33,Tamil Nadu,Karur
111,603,2,33,Tamil Nadu,Chennai
157,612,11,33,Tamil Nadu,Dindigul
272,604,3,33,Tamil Nadu,Kancheepuram
324,631,30,33,Tamil Nadu,Krishnagiri
471,626,25,33,Tamil Nadu,Ramanathapuram
495,608,7,33,Tamil Nadu,Salem
26,616,15,33,Tamil Nadu,Ariyalur
148,630,29,33,Tamil Nadu,Dharmapuri
277,629,28,33,Tamil Nadu,Kanniyakumari
350,623,22,33,Tamil Nadu,Madurai
398,609,8,33,Tamil Nadu,Namakkal
440,615,14,33,Tamil Nadu,Perambalur
565,611,10,33,Tamil Nadu,The Nilgiris
566,624,23,33,Tamil Nadu,Theni
