S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Observation Wells,Chennai,4.33,4.33,0,0
2,Observation Wells,Thiruvallur,5.31,6.06,-0.75,
3,Observation Wells,Kanchipuram,4.84,4.39,0.45,
4,Observation Wells,Thiruvannamalai,7.71,6.83,0.88,
5,Observation Wells,Vellore,8.45,6.91,1.54,
6,Observation Wells,Dharmapuri,11.01,8.77,2.24,
7,Observation Wells,Krishnagiri,6.62,7.34,,0.72
8,Observation Wells,Cuddalore,5.98,5.62,0.36,
9,Observation Wells,Villupuram,6.43,10.41,,3.98
10,Observation Wells,Thanjavur,3.67,3.33,0.34,
11,Observation Wells,Thiruvarur,3.55,3.33,0.22,
12,Observation Wells,Nagapattinam,3.02,2.93,0.09,
13,Observation Wells,Trichy,10.71,8.57,2.14,
14,Observation Wells,Karur,8.14,8.18,,0.04
15,Observation Wells,Perambalur,7.83,6.52,1.31,
16,Observation Wells,Pudukkottai,6.11,5.72,0.39,
17,Observation Wells,Salem,10.8,9.22,1.58,
18,Observation Wells,Namakkal,10.88,10.2,0.68,
19,Observation Wells,Erode,8.67,7.67,1,
20,Observation Wells,Coimbatore,12.49,9.92,2.57,
21,Observation Wells,Nilgiris,2.2,2.17,0.03,
22,Observation Wells,Dindigul,10.95,8.33,2.62,
23,Observation Wells,Madurai,6.61,5.6,1.01,
24,Observation Wells,Ramanathapuram,4.45,4.03,0.42,
25,Observation Wells,Sivagangai,5.22,4.69,0.53,
26,Observation Wells,Theni,10.4,9.23,1.17,
27,Observation Wells,Thoothukudi,5.35,5.03,0.32,
28,Observation Wells,Tirunelveli,7.53,8.15,,0.62
29,Observation Wells,Virudhunagar,8.69,7.58,1.11,
30,Observation Wells,Kanyakumari,5.9,6.05,,0.15
