S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Observation Wells,Chennai,4.54,4.28,0.26,
2,Observation Wells,Thiruvallur,5.8,5.17,0.63,
3,Observation Wells,Kanchipuram,5.35,4.65,0.7,
4,Observation Wells,Thiruvannamalai,7.92,6.65,1.27,
5,Observation Wells,Vellore,8.94,6.7,2.24,
6,Observation Wells,Dharmapuri,10.98,7.97,3.01,
7,Observation Wells,Krishnagiri,6.79,7.54,,0.75
8,Observation Wells,Cuddalore,6.93,5.79,1.14,
9,Observation Wells,Villupuram,6.07,4..85,1.22,
10,Observation Wells,Thanjavur,4.22,3.48,0.74,
11,Observation Wells,Thiruvarur,3.45,3.3,0.15,
12,Observation Wells,Nagapattinam,3.26,2.94,0.32,
13,Observation Wells,Trichy,10.50,8.80,1.6,
14,Observation Wells,Karur,8.10,7.70,0.40,
15,Observation Wells,Perambalur,7.60,6.40,1.20,
16,Observation Wells,Pudukkottai,5.80,5.70,0.10,
17,Observation Wells,Salem,10.83,8.82,2.01,
18,Observation Wells,Namakkal,11.66,9.74,1.92,
19,Observation Wells,Erode,8.37,7.39,0.98,
20,Observation Wells,Coimbatore,12.07,9.41,2.66,
21,Observation Wells,Nilgiris,2.4,2.58,,0.18
22,Observation Wells,Dindigul,10.31,8.2,2.11,
23,Observation Wells,Madurai,6.37,5.17,1.2,
24,Observation Wells,Ramanathapuram,4.4,3.81,0.59,
25,Observation Wells,Sivagangai,5.32,4.89,0.43,
26,Observation Wells,Theni,10.11,8.25,1.86,
27,Observation Wells,Thoothukudi,4.97,4.48,0.49,
28,Observation Wells,Tirunelveli,6.99,7.17,,0.18
29,Observation Wells,Virudhunagar,8,6.99,1.01,
30,Observation Wells,Kanyakumari,6.06,6.06,

