S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Observation Wells,Chennai,4.68,4.26,0.42,
2,Observation Wells,Thiruvallur,6.38,4.79,1.59,
3,Observation Wells,Kanchipuram,5.27,4.39,0.88,
4,Observation Wells,Thiruvannamalai,8.28,5.76,2.52,
5,Observation Wells,Vellore,9.19,6.51,2.68,
6,Observation Wells,Dharmapuri,11.41,7.19,4.22,
7,Observation Wells,Krishnagiri,6.72,6.74,,0.02
8,Observation Wells,Cuddalore,6.93,5.58,1.35,
9,Observation Wells,Villupuram,6.03,4.16,1.87,
10,Observation Wells,Thanjavur,4.18,4.06,0.12,
11,Observation Wells,Thiruvarur,3.11,3.42,,0.31
12,Observation Wells,Nagapattinam,2.66,3.48,,0.82
13,Observation Wells,Trichy,10.29,7.53,2.76,
14,Observation Wells,Karur,7.18,7.33,,0.15
15,Observation Wells,Perambalur,6.50,5.76,0.74,
16,Observation Wells,Pudukkottai,5.33,5.23,0.10,
17,Observation Wells,Salem,10.62,8.74,1.88,
18,Observation Wells,Namakkal,12.19,9.28,2.91,
19,Observation Wells,Erode,8.49,6.24,2.25,
20,Observation Wells,Coimbatore,11.05,9.37,1.68,
21,Observation Wells,Nilgiris,2.4,2.65,,0.25
22,Observation Wells,Dindigul,9.97,7.33,2.64,
23,Observation Wells,Madurai,6.26,4.5,1.76,
24,Observation Wells,Ramanathapuram,4.17,3.57,0.60,
25,Observation Wells,Sivagangai,5.25,5.13,0.12,
26,Observation Wells,Theni,9.96,7.42,2.54,
27,Observation Wells,Thoothukudi,4.42,4.02,0.40,
28,Observation Wells,Tirunelveli,6.99,6.63,0.36,
29,Observation Wells,Virudhunagar,7.93,6.29,1.64,
30,Observation Wells,Kanyakumari,6.92,5.42,1.50,
