S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),Rise,Fall
1,Observation Wells,Chennai,4.73,4.44,0.29,
2,Observation Wells,Thiruvallur,6.38,4.7,1.68,
3,Observation Wells,Kanchipuram,4.89,4.62,0.27,
4,Observation Wells,Thiruvannamalai,7.82,5.19,2.63,
5,Observation Wells,Vellore,8.97,5.88,3.09,
6,Observation Wells,Dharmapuri,11.74,7.21,4.53,
7,Observation Wells,Krishnagiri,7.09,7,0.09,
8,Observation Wells,Cuddalore,6.4,4.78,1.62,
9,Observation Wells,Villupuram,5.82,4.51,1.31,
10,Observation Wells,Thanjavur,4.92,3.31,1.61,
11,Observation Wells,Thiruvarur,4.34,2.93,1.41,
12,Observation Wells,Nagapattinam,3.01,3.06,,0.05
13,Observation Wells,Trichy,9.99,7.28,2.71,
14,Observation Wells,Karur,6.16,6.80,,0.64
15,Observation Wells,Perambalur,5.91,5.44,0.47,
16,Observation Wells,Pudukkottai,5.05,4.79,0.26,
17,Observation Wells,Salem,10.35,8.43,1.92,
18,Observation Wells,Namakkal,12.35,9.1,3.25,
19,Observation Wells,Erode,8.32,6.09,2.23,
20,Observation Wells,Coimbatore,10.7,9.56,1.14,
21,Observation Wells,Nilgiris,2.39,2.89,,0.5
22,Observation Wells,Dindigul,9.63,6.84,2.79,
24,Observation Wells,Madurai,6.16,4.12,2.04,
25,Observation Wells,Ramanathapuram,3.99,4.22,,0.23
26,Observation Wells,Sivagangai,5.12,5.38,,0.26
27,Observation Wells,Theni,9.12,6.41,2.71,
28,Observation Wells,Thoothukudi,4.23,3.32,0.91,
29,Observation Wells,Tirunelveli,5.88,6.43,,0.55
30,Observation Wells,Virudhunagar,8.16,6.78,1.38,
31,Observation Wells,Kanyakumari,7.65,6.2,1.45,
