S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Observation Wells,Chennai,4.42,4.28,0.14,
2,Observation Wells,Thiruvallur,5.30,3.89,1.41,
3,Observation Wells,Kanchipuram,5.68,4.09,1.59,
4,Observation Wells,Thiruvannamalai,8.36,5.87,2.49,
5,Observation Wells,Vellore,8.74,6.31,2.43,
6,Observation Wells,Dharmapuri,10.51,5.95,4.56,
7,Observation Wells,Krishnagiri,9.27,6.29,2.98,
8,Observation Wells,Cuddalore,5.16,5.17,-0.01
9,Observation Wells,Villupuram,6.45,4.84,1.61,
10,Observation Wells,Thanjavur,3.90,3.17,0.73,
11,Observation Wells,Thiruvarur,3.10,3.64,-0.54
12,Observation Wells,Nagapattinam,3.24,2.67,0.57,
13,Observation Wells,Trichy,9.57,8.92,0.65,
14,Observation Wells,Karur,7.71,8.15,-0.44
15,Observation Wells,Perambalur,8.17,6.46,1.71,
16,Observation Wells,Pudukkottai,5.77,5.62,0.15,
17,Observation Wells,Salem,8.47,8.80,-0.33
18,Observation Wells,Namakkal,11.53,10.12,1.41,
19,Observation Wells,Erode,8.53,7.58,0.95,
20,Observation Wells,Coimbatore,11.74,9.76,1.98,
21,Observation Wells,Nilgiris,2.18,1.99,0.19,
22,Observation Wells,Dindigul,10.33,9.45,0.88,
23,Observation Wells,Madurai,6.71,5.53,1.18,
24,Observation Wells,Ramanathapuram,4.42,4.42,0.00,
25,Observation Wells,Sivagangai,5.27,5.65,-0.38
26,Observation Wells,Theni,12.01,8.95,3.06,
27,Observation Wells,Thoothukudi,5.55,5.18,0.37,
28,Observation Wells,Tirunelveli,7.30,8.55,-1.25
29,Observation Wells,Virudhunagar,7.74,7.95,-0.21
30,Observation Wells,Kanyakumari,6.20,5.91,0.29,
