S.No.,Well Type,Name of the District,"Previous Year(Jan2011.)","Current Month(Jan- 2012)","Rise inbgl","Fall inbgl"
1,Observation Wells,Chennai,3.32,2.41,0.91,
2,Observation Wells,Thiruvallur,2.38,2.33,0.05,
3,Observation Wells,Kanchipuram,1.9,1.59,0.31,
4,Observation Wells,Thiruvannamalai,2.65,2.29,0.36,
5,Observation Wells,Vellore,4.66,4.63,0.03,
6,Observation Wells,Dharmapuri,4.69,5.52,,0.83
7,Observation Wells,Krishnagiri,5.42,5.55,,0.13
8,Observation Wells,Cuddalore,2.85,2.02,0.83,
9,Observation Wells,Villupuram,1.98,2.13,,0.15
10,Observation Wells,Thanjavur,2.23,2.65,,0.42
11,Observation Wells,Thiruvarur,1.53,1.49,0.04,
12,Observation Wells,Nagapattinam,2.83,1.51,1.32,
13,Observation Wells,Trichy,6.14,5.37,0.77,
14,Observation Wells,Karur,4.81,6.31,,1.50
15,Observation Wells,Perambalur,2.39,11.52,,9.13
16,Observation Wells,Pudukkottai,3.03,3.58,,0.55
17,Observation Wells,Salem,6.78,6.36,0.42,
18,Observation Wells,Namakkal,7.79,8.68,,0.89
19,Observation Wells,Erode,5.41,5.88,,0.47
20,Observation Wells,Coimbatore,8.89,7.17,1.72,
21,Observation Well,Thiruppur,5.87,7.94,,2.07
22,Observation Wells,Nilgiris,2.06,2.55,,0.49
23,Observation Wells,Dindigul,5.57,4.14,1.43,
24,Observation Wells,Madurai,2.74,3.05,,0.31
25,Observation Wells,Ramanathapuram,3.34,2.87,0.47,
26,Observation Wells,Sivagangai,3.44,2.88,0.56,
27,Observation Wells,Theni,4.9,7.9,,3.00
28,Observation Wells,Thoothukudi,2.17,2.24,,0.07
29,Observation Wells,Tirunelveli,4.56,3.41,1.15,
30,Observation Wells,Virudhunagar,5.14,4.09,1.05,
31,Observation Wells,Kanyakumari,3.61,4.95,,1.34
