S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Observation Wells,Chennai,2.67,2.41,0.26,
2,Observation Wells,Thiruvallur,1.88,2.38,-0.50
3,Observation Wells,Kanchipuram,1.42,1.45,-0.03
4,Observation Wells,Thiruvannamalai,2.74,2.72,0.02
5,Observation Wells,Vellore,5.68,4.78,0.90,
6,Observation Wells,Dharmapuri,4.5,5.28,-0.78
7,Observation Wells,Krishnagiri,5.49,5.68,-0.19
8,Observation Wells,Cuddalore,2.31,2.68,-0.37
9,Observation Wells,Villupuram,2.31,2.63,-0.32
10,Observation Wells,Thanjavur,3.08,2.62,0.46,
11,Observation Wells,Thiruvarur,2.51,2.18,0.33,
12,Observation Wells,Nagapattinam,2.19,1.8,0.39,
13,Observation Wells,Trichy,7.94,6.39,1.55,
14,Observation Wells,Karur,5.86,6.74,-0.88
15,Observation Wells,Perambalur,2.61,3.39,-0.78
16,Observation Wells,Pudukkottai,2.79,3.50,-0.71
17,Observation Wells,Salem,8.14,6.91,1.23,
18,Observation Wells,Namakkal,7.5,8.05,-0.55
19,Observation Wells,Erode,4.72,6.41,-1.69
20,Observation Wells,Coimbatore,9.35,8.12,1.23,
21,Observation Wells,Nilgiris,1.9,1.87,0.03,
22,Observation Wells,Dindigul,7.36,4.04,3.32,
23,Observation Wells,Madurai,2.79,3.35,-0.56
24,Observation Wells,Ramanathapuram,3.93,2.65,1.28,
25,Observation Wells,Sivagangai,3.25,2.56,0.69,
26,Observation Wells,Theni,5.36,7.85,-2.49
27,Observation Wells,Thoothukudi,2.72,3.21,-0.49
28,Observation Wells,Tirunelveli,5.86,4.61,1.25,
29,Observation Wells,Virudhunagar,5.31,3.74,1.57,
30,Observation Wells,Kanyakumari,3.21,3.58,-0.37
