S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Observation Wells,Chennai,3.81,3.29,0.52,
2,Observation Wells,Thiruvallur,2.61,3.14,,0.53
3,Observation Wells,Kanchipuram,3.25,1.93,1.32,
4,Observation Wells,Thiruvannamalai,5.75,3.72,2.03,
5,Observation Wells,Vellore,7.02,5.56,1.46,
6,Observation Wells,Dharmapuri,6.56,6.02,0.54,
7,Observation Wells,Krishnagiri,6.42,5.88,0.54,
8,Observation Wells,Cuddalore,5.97,3.33,2.64,
9,Observation Wells,Villupuram,4.85,3.16,1.69,
10,Observation Wells,Thanjavur,3.08,2.62,0.46,
11,Observation Wells,Thiruvarur,2.51,2.18,0.33,
12,Observation Wells,Nagapattinam,2.19,1.8,0.39,
13,Observation Wells,Trichy,8.30,6.99,1.31,
14,Observation Wells,Karur,7.28,6.95,0.33,
15,Observation Wells,Perambalur,3.09,4.31,,1.22
16,Observation Wells,Pudukkottai,4.21,3.60,0.61,
17,Observation Wells,Salem,9.14,7.55,1.59,
18,Observation Wells,Namakkal,9.06,9,0.06,
19,Observation Wells,Erode,5.79,6.42,,0.63
20,Observation Wells,Coimbatore,10.21,8.65,1.56,
21,Observation Wells,Nilgiris,2.09,1.61,0.48,
22,Observation Wells,Dindigul,10.54,6.68,3.86,
23,Observation Wells,Madurai,4.7,4.2,0.50,
24,Observation Wells,Ramanathapuram,3.74,4.14,,0.40
25,Observation Wells,Sivagangai,2.85,3.73,,0.88
26,Observation Wells,Theni,6.61,10.28,,3.67
27,Observation Wells,Thoothukudi,4.66,3.87,0.79,
28,Observation Wells,Tirunelveli,7.52,5.83,1.69,
29,Observation Wells,Virudhunagar,6.54,5.49,1.05,
30,Observation Wells,Kanyakumari,4.89,5.42,,0.53
