S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014),
1,Piezometer,Chennai,2.97,2.50,0.47,
2,Piezometer,Thiruvallur,8.74,9.37,,0.63
3,Piezometer,Kanchipuram,4.61,5.59,,0.98
4,Piezometer,Thiruvannamalai,8.01,5.3,2.71,
5,Piezometer,Vellore,7.11,5.82,1.29,
6,Piezometer,Dharmapuri,12.09,9.75,2.34,
7,Piezometer,Krishnagiri,12.96,17.19,,4.13
8,Piezometer,Cuddalore,24.15,22.82,1.33,
9,Piezometer,Villupuram,9.22,7.34,1.88,
10,Piezometer,Thanjavur,11.46,9.29,2.17,
11,Piezometer,Thiruvarur,8.93,7.46,1.47,
12,Piezometer,Nagapattinam,10.66,7.34,3.32,
13,Piezometer,Trichy,11.03,8.46,2.57,
14,Piezometer,Karur,10.67,11.32,,0.65
15,Piezometer,Perambalur,12.53,14.21,,1.68
16,Piezometer,Pudukkottai,11.55,10.21,1.34,
17,Piezometer,Salem,12.23,9.37,2.86,
18,Piezometer,Namakkal,13.17,11.67,1.50,
19,Piezometer,Erode,11.5,13.19,,1.69
20,Piezometer,Coimbatore,14.98,16.26,,1.28
21,Piezometer,Nilgiris,7.7,6.88,0.82,
22,Piezometer,Dindigul,11.44,12.7,,1.26
23,Piezometer,Madurai,11.28,8.48,2.80,
24,Piezometer,Ramanathapuram,11.91,13.27,,1.36
25,Piezometer,Sivagangai,7.79,7.4,0.39,
26,Piezometer,Theni,10.52,12.7,,2.18
27,Piezometer,Thoothukudi,6.08,5.93,0.15,
28,Piezometer,Tirunelveli,8.43,8.46,,0.03
29,Piezometer,Virudhunagar,7.91,7.89,0.02,
30,Piezometer,Kanyakumari,5.02,5.95,,0.93
