S.No.,Well Type,Name of the District,Previous Year(January 2013),Current Month(January 2014)
1,Observation Wells,Chennai,4.69,5.18,0.49
2,Observation Wells,Thiruvallur,5.06,5.54,0.48
3,Observation Wells,Kanchipuram,4.67,5.59,0.92
4,Observation Wells,Thiruvannamalai,6.55,6.750.2
5,Observation Wells,Vellore,8.54,9.42,0.88
6,Observation Wells,Dharmapuri,8.85,10.35,1.5
7,Observation Wells,Krishnagiri,7.74,8.99,1.25
8,Observation Wells,Cuddalore,6.07,6.83,0.76
9,Observation Wells,Villupuram,5.68,7.22,1.54
10,Observation Wells,Thanjavur,3.33,3.75,0.42
11,Observation Wells,Thiruvarur,3.33,3.66,0.33
12,Observation Wells,Nagapattinam,2.93,3.62,0.69
13,Observation Wells,Trichy,9.02,8.24,0.78,
14,Observation Wells,Karur,8.11,7.5,0.61,
15,Observation Wells,Perambalur,8.47,10.26,1.79
16,Observation Wells,Pudukkottai,5.94,6.66,0.72
17,Observation Wells,Salem,9.22,11.32,
18,Observation Wells,Namakkal,10.54,13.25,2.71
19,Observation Wells,Erode,7.97,9.97,2
20,Observation Wells,Coimbatore,16.22,17.42,1.2
21,Observation Wells,Thiruppur,8.66,10.85,2.19
22,Observation Wells,Nilgiris,2.17,3.55,1.38
23,Observation Wells,Dindigul,8.57,8.94,0.37
24,Observation Wells,Madurai,5.48,6.61,1.13
25,Observation Wells,Ramanathapuram,4.03,4.95,0.92
26,Observation Wells,Sivagangai,4.69,6.12,1.43
27,Observation Wells,Theni,12.22,12.02,0.2,
28,Observation Wells,Thoothukudi,4.95,5.41,0.46
29,Observation Wells,Tirunelveli,8.15,7.1,
30,Observation Wells,Virudhunagar,7.58,7.61,0.03
31,Observation Wells,Kanyakumari,6.05,6.9,0.85
